lambda,s_lambda,dlambda_ds
0.14515507753876938,0.32421080909294464,0.6824229809282302
0.1456503251625813,0.32493605939624876,0.6833064197562054
0.1461455727863932,0.32566037421496274,0.6841868754669462
0.14664082041020512,0.32638375910491085,0.685064360179349
0.14713606803401702,0.32710621957571007,0.6859388859120136
0.14763131565782892,0.3278277610913195,0.6868104645844114
0.14812656328164084,0.3285483890705811,0.687679108018021
0.14862181090545273,0.32926810888775226,0.6885448279374569
0.14911705852926466,0.32998692587303075,0.689407635971577
0.14961230615307655,0.3307048453130712,0.6902675436545778
0.15010755377688845,0.3314218724514947,0.6911245624270697
0.15060280140070037,0.33213801248938996,0.6919787036371352
0.15109804902451227,0.3328532705858076,0.6928299785413763
0.15159329664832416,0.33356765185824705,0.6936783983059474
0.15208854427213608,0.3342811613831361,0.694523974007561
0.15258379189594798,0.33499380419630365,0.6953667166344998
0.1530790395197599,0.33570558529344535,0.6962066370875899
0.1535742871435718,0.33641650963058256,0.6970437461811823
0.1540695347673837,0.3371265821245147,0.6978780546441048
0.15456478239119562,0.3378358076532649,0.6987095731206078
0.1550600300150075,0.3385441910565192,0.6995383121712951
0.15555527763881943,0.33925173713605966,0.7003642822740387
0.15605052526263133,0.3399584506561911,0.7011874938248827
0.15654577288644322,0.34066433634416177,0.7020079571389376
0.15704102051025515,0.3413693988905779,0.7028256824512588
0.15753626813406704,0.34207364294981246,0.703640679917706
0.15803151575787894,0.3427770731404084,0.7044529596158081
0.15852676338169086,0.34347969404547574,0.7052625315455987
0.15902201100550276,0.34418151021308313,0.7060694056304444
0.15951725862931468,0.3448825261566444,0.706873591717872
0.16001250625312657,0.34558274635529906,0.7076750995803683
0.16050775387693847,0.3462821752542881,0.7084739389161813
0.1610030015007504,0.3469808172653241,0.7092701193501058
0.1614982491245623,0.34767867676695613,0.710063650434252
0.1619934967483742,0.3483757581049304,0.71085454164882
0.1624887443721861,0.3490720655925449,0.7116428024028443
0.162983991995998,0.349767603511,0.7124284420349424
0.16347923961980992,0.3504623761097439,0.7132114698140479
0.16397448724362182,0.35115638760681317,0.7139918949401326
0.16446973486743374,0.3518496421891691,0.7147697265449197
0.16496498249124564,0.352542144013029,0.7155449736925917
0.16546023011505753,0.35323389720419385,0.7163176453804825
0.16595547773886946,0.3539249058583703,0.7170877505397629
0.16645072536268135,0.35461517404148934,0.717855298036119
